MAYA,ESPAÑOL,INGLES
pikit,abanico,fan
je',abrir,open
óok'ot,bailar,dance
kaabal,bajo,low
cheem,barco,ship
tóolok,basilisco,basilisk
kimen,cadaver,corpse
beel,calle,street
aal,cachorro,puppy
iik,chile,chilli pepper
toop,chingar,fuck
chukwa,chocolate,chocolate
jaay,delgado,thin
tak pool,denunciar,report
báaxal,deporte,sport
ja'abil,edad,age
tuus,engañar,deceive
nojoch,enorme,huge
na',madre,mother
jóok’ol,salir,go out
